"","fund_name","fund_extended_name","category","fund_family","net_assets","ytd_return","fund_yield","morningstar_rating","inception_date","investment","size","currency","net_annual_expense_ratio_fund","net_annual_expense_ratio_category","portfolio_cash","portfolio_stocks","portfolio_bonds","portfolio_others","portfolio_preferred","portfolio_convertable","price_earnings","price_book","price_sales","price_cashflow","median_market_cap","basic_materials","consumer_cyclical","financial_services","real_estate","consumer_defensive","healthcare","utilities","communication_services","energy","industrials","technology","bond_maturity","bond_duration","rating_us_government","rating_aaa","rating_aa","rating_a","rating_bbb","rating_bb","rating_b","rating_below_b","rating_others","morningstar_return_rating","fund_return_ytd","category_return_ytd","fund_return_1month","category_return_1month","fund_return_3months","category_return_3months","fund_return_1year","category_return_1year","fund_return_3years","category_return_3years","fund_return_5years","category_return_5years","fund_return_10years","category_return_10years","fund_return_2018","category_return_2018","fund_return_2017","category_return_2017","fund_return_2016","category_return_2016","fund_return_2015","category_return_2015","fund_return_2014","category_return_2014","fund_return_2013","category_return_2013","fund_return_2012","category_return_2012","fund_return_2011","category_return_2011","fund_return_2010","category_return_2010","morningstar_risk_rating","years_up","years_down","fund_alpha_3years","category_alpha_3years","fund_alpha_5years","category_alpha_5years","fund_alpha_10years","category_alpha_10years","fund_beta_3years","category_beta_3years","fund_beta_5years","category_beta_5years","fund_beta_10years","category_beta_10years","fund_mean_annual_return_3years","category_mean_annual_return_3years","fund_mean_annual_return_5years","category_mean_annual_return_5years","fund_mean_annual_return_10years","category_mean_annual_return_10years","fund_r_squared_3years","category_r_squared_3years","fund_r_squared_5years","category_r_squared_5years","fund_r_squared_10years","category_r_squared_10years","fund_standard_deviation_3years","category_standard_deviation_3years","fund_standard_deviation_5years","category_standard_deviation_5years","fund_standard_deviation_10years","category_standard_deviation_10years","fund_sharpe_ratio_3years","category_sharpe_ratio_3years","fund_sharpe_ratio_5years","category_sharpe_ratio_5years","fund_sharpe_ratio_10years","category_sharpe_ratio_10years","fund_treynor_ratio_3years","category_treynor_ratio_3years","fund_treynor_ratio_5years","category_treynor_ratio_5years","fund_treynor_ratio_10years","category_treynor_ratio_10years","NumOfSector","highest"
"99","BFGBX","BlackRock Capital Appreciation Fund K Shares","Large Growth","BlackRock",3.09e+09,17.03,0,4,1997-12-30,"Growth","Large","USD",0.65,1.06,0.32,99.68,0,0,0,0,"30.89",6.73,"4","20.97","109,696.77",2.85,18.9,14.7,2.65,3.06,17.09,0,1.75,0,8.2,30.81,NA,NA,0,0,0,0,0,0,0,0,0,4,17.03,15.67,2.98,2.12,17.03,15.67,13,10.71,18.82,15.35,13.71,11.26,15.88,15.94,2.11,-2.09,33.19,27.67,0.03,3.23,7.29,3.6,8.72,10,34.29,33.92,14.29,15.34,-8.78,-2.46,19.67,15.53,4,16,5,3.46,0.01,1.64,0,-0.97,-0.01,1.13,0.01,1.12,0.01,1.08,0.01,1.52,0.01,1.16,0.01,1.33,0.01,78.36,0.84,82.37,0.86,84.63,0.88,13.67,0.13,13.79,0.13,14.93,0.14,1.24,0.01,0.95,0.01,1.04,0.01,"15.57",0.13,"11.55",0.1,"14.27",0.15,9,"technology"
"100","BFTHX","Baron Fifth Avenue Growth Fund Retail Class","Large Growth","Baron Capital Group",289990000,18.64,0,4,2004-04-29,"Growth","Large","USD",1,1.06,5.02,94.98,0,0,0,0,"35.31",5.01,"6.4","22.62","87,657.32",0,24.94,19.38,3.22,0,14.11,0,0.11,0,3.96,34.29,NA,NA,0,0,0,0,0,0,0,0,0,4,18.64,15.67,3.35,2.12,18.64,15.67,11.74,10.71,20.25,15.35,13.63,11.26,17.04,15.94,1.1,-2.09,40.64,27.67,-2.06,3.23,6.33,3.6,8.08,10,35.44,33.92,20.85,15.34,-2.58,-2.46,10.57,15.53,5,11,3,4.67,0.01,1.24,0,-0.69,-0.01,1.14,0.01,1.17,0.01,1.14,0.01,1.64,0.01,1.16,0.01,1.43,0.01,67.66,0.84,74.77,0.86,80.24,0.88,14.88,0.13,15.11,0.13,16.18,0.14,1.23,0.01,0.87,0.01,1.03,0.01,"16.64",0.13,"10.99",0.1,"14.53",0.15,7,"technology"
"101","BFTIX","Baron Fifth Avenue Growth Fund Institutional Class","Large Growth","Baron Capital Group",289990000,18.69,0,4,2009-05-28,"Growth","Large","USD",0.75,1.06,5.02,94.98,0,0,0,0,"35.31",5.01,"6.4","22.62","87,657.32",0,24.94,19.38,3.22,0,14.11,0,0.11,0,3.96,34.29,NA,NA,0,0,0,0,0,0,0,0,0,4,18.69,15.67,3.38,2.12,18.69,15.67,12.04,10.71,20.57,15.35,13.91,11.26,17.33,15.94,1.39,-2.09,40.97,27.67,-1.76,3.23,6.61,3.6,8.34,10,35.73,33.92,21.2,15.34,-2.28,-2.46,10.67,15.53,5,7,2,4.98,0.01,1.51,0,-0.42,-0.01,1.14,0.01,1.16,0.01,1.14,0.01,1.66,0.01,1.19,0.01,1.45,0.01,67.49,0.84,74.62,0.86,80.23,0.88,14.86,0.13,15.1,0.13,16.17,0.14,1.25,0.01,0.89,0.01,1.05,0.01,"16.96",0.13,"11.25",0.1,"14.8",0.15,7,"technology"
"102","BFTUX","Baron Fifth Avenue Growth Fund Class R6","Large Growth","Baron Capital Group",289990000,18.68,0,5,2016-01-28,"Growth","Large","USD",0.75,1.06,5.02,94.98,0,0,0,0,"35.31",5.01,"6.4","22.62","87,657.32",0,24.94,19.38,3.22,0,14.11,0,0.11,0,3.96,34.29,NA,NA,0,0,0,0,0,0,0,0,0,5,18.68,15.67,3.38,2.12,18.68,15.67,12.03,10.71,20.58,15.35,13.81,11.26,17.13,15.94,1.39,-2.09,41.02,27.67,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,4.98,0.01,1.42,0,-0.6,-0.01,1.14,0.01,1.17,0.01,1.14,0.01,1.66,0.01,1.18,0.01,1.43,0.01,67.52,0.84,74.68,0.86,80.19,0.88,14.88,0.13,15.12,0.13,16.18,0.14,1.25,0.01,0.88,0.01,1.04,0.01,"16.96",0.13,"11.16",0.1,"14.62",0.15,7,"technology"
"103","BGFIX","William Blair Growth Fund Class I","Large Growth","William Blair",254290000,16.76,0,3,1999-09-30,"Growth","Large","USD",0.92,1.06,1.31,98.69,0,0,0,0,"24.92",5.08,"2.82","15.94","50,451.47",2.68,19.27,9.5,1.83,11.84,13.45,0,0,0,13.3,28.13,NA,NA,0,0,0,0,0,0,0,0,0,3,16.76,15.67,3.75,2.12,16.76,15.67,15.65,10.71,16.38,15.35,11.57,11.26,15.82,15.94,5.42,-2.09,24.64,27.67,-0.69,3.23,5.69,3.6,6.96,10,35.43,33.92,16.03,15.34,-1.6,-2.46,14.36,15.53,3,13,6,2.48,0.01,0.51,0,-0.32,-0.01,1.02,0.01,1.02,0.01,1.03,0.01,1.33,0.01,0.98,0.01,1.31,0.01,82.7,0.84,85.18,0.86,86.34,0.88,12.02,0.13,12.43,0.13,14.03,0.14,1.22,0.01,0.88,0.01,1.09,0.01,"14.86",0.13,"10.53",0.1,"14.97",0.15,8,"technology"
"104","BGRWX","Barrett Growth Fund","Large Growth","Barrett",26590000,14.66,0,2,1998-12-28,"Growth","Large","USD",1.26,1.06,5.32,94.68,0,0,0,0,"22.51",4.59,"3.16","14.01","108,917.1",2.8,19.84,18.3,0,2.88,17.88,0,0,2.08,13.99,22.24,NA,NA,0,0,0,0,0,0,0,0,0,2,14.66,15.67,3.44,2.12,14.66,15.67,11.98,10.71,13.24,15.35,10.74,11.26,12.53,15.94,-0.4,-2.09,21.01,27.67,7.04,3.23,0.74,3.6,10.49,10,33.33,33.92,8.85,15.34,-5.76,-2.46,8.7,15.53,1,14,6,0.19,0.01,0.33,0,-2.69,-0.01,0.96,0.01,0.95,0.01,0.98,0.01,1.09,0.01,0.9,0.01,1.06,0.01,92.71,0.84,93.98,0.86,93.85,0.88,10.77,0.13,10.98,0.13,12.86,0.14,1.09,0.01,0.92,0.01,0.95,0.01,"12.38",0.13,"10.46",0.1,"12.32",0.15,8,"technology"
"105","BIAFX","Brown Advisory Flexible Equity Fund Investor Shares","Large Growth","Brown Advisory Funds",464360000,14.34,0.23,3,2006-11-29,"Growth","Large","USD",0.73,1.06,1.59,98.41,0,0,0,0,"17.08",2.79,"2.36","10.76","121,151.44",1.35,16.1,35.49,1.11,3.36,9.31,0,1.49,4.82,6.17,20.81,NA,NA,0,0,0,0,0,0,0,0,0,3,14.34,15.67,2.68,2.12,14.34,15.67,9.42,10.71,14.72,15.35,10.2,11.26,16.13,15.94,-4.07,-2.09,24.12,27.67,9.37,3.23,-2.95,3.6,12.73,10,35.52,33.92,18.12,15.34,4.04,-2.46,10.86,15.53,3,8,4,0.28,0.01,-1.13,0,0.26,-0.01,1.08,0.01,1.06,0.01,1,0.01,1.21,0.01,0.88,0.01,1.32,0.01,92.29,0.84,92.78,0.86,93.81,0.88,12.04,0.13,12.33,0.13,13.08,0.14,1.1,0.01,0.79,0.01,1.18,0.01,"12.46",0.13,"8.86",0.1,"15.71",0.15,10,"financial_services"
"106","BIAGX","Brown Advisory Growth Equity Fund Investor Shares","Large Growth","Brown Advisory Funds",2.12e+09,19.75,0,4,1999-06-27,"Growth","Large","USD",0.86,1.06,2.83,97.17,0,0,0,0,"29.35",6.38,"4.24","21.13","66,093.02",3.13,12.04,8.49,0,7.53,20.64,0,3.76,0,12.64,31.77,NA,NA,0,0,0,0,0,0,0,0,0,4,19.75,15.67,3.34,2.12,19.75,15.67,17.4,10.71,17.28,15.35,12.57,11.26,17.56,15.94,5.01,-2.09,30.43,27.67,-3.02,3.23,6.88,3.6,6.18,10,28.63,33.92,15.43,15.34,-0.31,-2.46,24.44,15.53,3,13,6,3.14,0.01,1.36,0,0.7,-0.01,1.04,0.01,1.03,0.01,1.07,0.01,1.41,0.01,1.06,0.01,1.45,0.01,72.67,0.84,79.77,0.86,83.64,0.88,13.08,0.13,12.98,0.13,14.81,0.14,1.19,0.01,0.92,0.01,1.14,0.01,"15.44",0.13,"11.38",0.1,"16.05",0.15,8,"technology"
"107","BIOIX","Baron Opportunity Fund Institutional Class","Large Growth","Baron Capital Group",448020000,21.41,0,4,2009-05-28,"Growth","Large","USD",1.11,1.06,5.39,94.61,0,0,0,0,"35.78",5.83,"5.64","22.76","29,422.48",0,14.49,7.67,5.92,0,13.54,0,0.54,0.65,0.96,56.23,NA,NA,0,0,0,0,0,0,0,0,0,4,21.41,15.67,3.08,2.12,21.41,15.67,20.46,10.71,24.24,15.35,12.27,11.26,17.99,15.94,8.35,-2.09,40.88,27.67,-4.56,3.23,1.45,3.6,-1.4,10,37.9,33.92,14.04,15.34,-5.93,-2.46,25.74,15.53,5,6,3,7.83,0.01,-0.26,0,0.3,-0.01,1.16,0.01,1.22,0.01,1.14,0.01,1.92,0.01,1.09,0.01,1.51,0.01,66.87,0.84,66.21,0.86,72.46,0.88,15.21,0.13,16.86,0.13,17.01,0.14,1.43,0.01,0.73,0.01,1.04,0.01,"19.84",0.13,"9.37",0.1,"15.39",0.15,8,"technology"
"108","BIOPX","Baron Opportunity Fund Retail Class","Large Growth","Baron Capital Group",448020000,21.35,0,3,2000-02-28,"Growth","Large","USD",1.37,1.06,5.39,94.61,0,0,0,0,"35.78",5.83,"5.64","22.76","29,422.48",0,14.49,7.67,5.92,0,13.54,0,0.54,0.65,0.96,56.23,NA,NA,0,0,0,0,0,0,0,0,0,4,21.35,15.67,3.05,2.12,21.35,15.67,20.1,10.71,23.89,15.35,11.97,11.26,17.68,15.94,8.05,-2.09,40.51,27.67,-4.84,3.23,1.2,3.6,-1.67,10,37.55,33.92,13.69,15.34,-6.16,-2.46,25.43,15.53,5,12,6,7.53,0.01,-0.55,0,0.02,-0.01,1.16,0.01,1.22,0.01,1.14,0.01,1.9,0.01,1.06,0.01,1.49,0.01,66.9,0.84,66.28,0.86,72.52,0.88,15.23,0.13,16.87,0.13,17.02,0.14,1.41,0.01,0.71,0.01,1.02,0.01,"19.51",0.13,"9.11",0.1,"15.11",0.15,8,"technology"
"109","BIOUX","Baron Opportunity Fund R6 Shares","Large Growth","Baron Capital Group",448020000,21.45,0,3,2016-08-30,"Growth","Large","USD",1.09,1.06,5.39,94.61,0,0,0,0,"35.78",5.83,"5.64","22.76","29,422.48",0,14.49,7.67,5.92,0,13.54,0,0.54,0.65,0.96,56.23,NA,NA,0,0,0,0,0,0,0,0,0,4,21.45,15.67,3.07,2.12,21.45,15.67,20.43,10.71,24.21,15.35,12.14,11.26,17.77,15.94,8.34,-2.09,40.95,27.67,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,7.79,0.01,-0.39,0,0.1,-0.01,1.16,0.01,1.22,0.01,1.14,0.01,1.92,0.01,1.08,0.01,1.49,0.01,66.76,0.84,66.17,0.86,72.46,0.88,15.24,0.13,16.88,0.13,17.03,0.14,1.42,0.01,0.72,0.01,1.03,0.01,"19.79",0.13,"9.25",0.1,"15.19",0.15,8,"technology"
"110","BLGRX","BMO Large-Cap Growth Fund Class R6","Large Growth","BMO Funds",405390000,14.18,0.72,4,2015-12-27,"Growth","Large","USD",0.39,1.06,2.9,97.1,0,0,0,0,"18.31",4.95,"2.38","10.08","70,930.96",2.1,16.12,15.51,3.11,5.42,12.58,0,1.95,2.21,8.35,32.64,NA,NA,0,0,0,0,0,0,0,0,0,3,14.18,15.67,1.32,2.12,14.18,15.67,11.91,10.71,16.43,15.35,13.78,11.26,16.76,15.94,-0.86,-2.09,28.56,27.67,8.97,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1.84,0.01,2.27,0,0.11,-0.01,1.07,0.01,1.04,0.01,1.05,0.01,1.34,0.01,1.14,0.01,1.38,0.01,90.76,0.84,91.83,0.86,92.97,0.88,12.1,0.13,12.14,0.13,13.84,0.14,1.22,0.01,1.06,0.01,1.16,0.01,"14.11",0.13,"12.47",0.1,"15.52",0.15,10,"technology"
"111","BLUEX","AMG Managers Brandywine Blue Fund Class I","Large Growth","AMG Funds",179730000,17.72,0,2,1991-01-09,"Growth","Large","USD",1.16,1.06,1.59,98.41,0,0,0,0,"24.1",4.62,"2.94","15.75","77,304.8",2.12,20.01,9.92,0,10.97,17.31,0,1.96,0,7.6,30.11,NA,NA,0,0,0,0,0,0,0,0,0,2,17.72,15.67,2.52,2.12,17.72,15.67,7.99,10.71,15.45,15.35,10.78,11.26,11.62,15.94,-5.04,-2.09,27.86,27.67,5.88,3.23,-0.05,3.6,8.54,10,33.13,33.92,6.74,15.34,-10.34,-2.46,18.76,15.53,4,20,7,0.68,0.01,-0.24,0,-4,-0.01,1.12,0.01,1.04,0.01,1.03,0.01,1.28,0.01,0.93,0.01,1.01,0.01,76.14,0.84,76.01,0.86,78.31,0.88,13.74,0.13,13.33,0.13,14.8,0.14,1.02,0.01,0.78,0.01,0.79,0.01,"12.69",0.13,"9.61",0.1,"10.83",0.15,8,"technology"
"112","BLYAX","American Beacon Bridgeway Large Cap Growth Fund A Class","Large Growth","American Beacon",195170000,16.48,0,2,2016-02-04,"Growth","Large","USD",1.21,1.06,2.14,97.86,0,0,0,0,"15.63",4.15,"1.95","9.41","39,834.61",3.4,18,9.72,3.62,9.32,15.54,0,1.63,1.3,15.12,22.33,NA,NA,0,0,0,0,0,0,0,0,0,3,16.48,15.67,1.84,2.12,16.48,15.67,3.94,10.71,13.98,15.35,11.71,11.26,15.97,15.94,-6.5,-2.09,27.02,27.67,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,-1.29,0.01,0.34,0,-0.65,-0.01,1.17,0.01,1.06,0.01,1.06,0.01,1.17,0.01,0.99,0.01,1.33,0.01,89.28,0.84,85.67,0.86,90.21,0.88,13.26,0.13,12.76,0.13,14.14,0.14,0.96,0.01,0.87,0.01,1.09,0.01,"10.88",0.13,"10.33",0.1,"14.67",0.15,10,"technology"
"113","BLYCX","American Beacon Bridgeway Large Cap Growth Fund C Class","Large Growth","American Beacon",195170000,16.25,0,2,2016-02-04,"Growth","Large","USD",1.96,1.06,2.14,97.86,0,0,0,0,"15.63",4.15,"1.95","9.41","39,834.61",3.4,18,9.72,3.62,9.32,15.54,0,1.63,1.3,15.12,22.33,NA,NA,0,0,0,0,0,0,0,0,0,2,16.25,15.67,1.78,2.12,16.25,15.67,3.23,10.71,13.12,15.35,10.87,11.26,15.1,15.94,-7.74,-2.09,26.8,27.67,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,-2.14,0.01,-0.45,0,-1.42,-0.01,1.17,0.01,1.06,0.01,1.06,0.01,1.11,0.01,0.93,0.01,1.26,0.01,90.08,0.84,86.11,0.86,90.38,0.88,13.28,0.13,12.77,0.13,14.14,0.14,0.9,0.01,0.81,0.01,1.04,0.01,"10.08",0.13,"9.5",0.1,"13.84",0.15,10,"technology"
"114","BLYPX","American Beacon Bridgeway Large Cap Growth Fund Investor Class","Large Growth","American Beacon",195170000,16.45,0.08,2,2016-02-04,"Growth","Large","USD",1.19,1.06,2.14,97.86,0,0,0,0,"15.63",4.15,"1.95","9.41","39,834.61",3.4,18,9.72,3.62,9.32,15.54,0,1.63,1.3,15.12,22.33,NA,NA,0,0,0,0,0,0,0,0,0,3,16.45,15.67,1.85,2.12,16.45,15.67,3.89,10.71,13.94,15.35,11.8,11.26,16.16,15.94,-6.33,-2.09,26.74,27.67,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,-1.28,0.01,0.44,0,-0.48,-0.01,1.16,0.01,1.05,0.01,1.06,0.01,1.17,0.01,1,0.01,1.34,0.01,88.98,0.84,85.48,0.86,90.15,0.88,13.24,0.13,12.75,0.13,14.14,0.14,0.96,0.01,0.88,0.01,1.1,0.01,"10.88",0.13,"10.43",0.1,"14.85",0.15,10,"technology"
"115","BLYYX","American Beacon Bridgeway Large Cap Growth Fund Y Class","Large Growth","American Beacon",195170000,16.54,0.35,3,2016-02-04,"Growth","Large","USD",0.91,1.06,2.14,97.86,0,0,0,0,"15.63",4.15,"1.95","9.41","39,834.61",3.4,18,9.72,3.62,9.32,15.54,0,1.63,1.3,15.12,22.33,NA,NA,0,0,0,0,0,0,0,0,0,3,16.54,15.67,1.87,2.12,16.54,15.67,4.19,10.71,14.29,15.35,12,11.26,16.27,15.94,-6.85,-2.09,28.18,27.67,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,-1.1,0.01,0.56,0,-0.42,-0.01,1.17,0.01,1.06,0.01,1.06,0.01,1.19,0.01,1.02,0.01,1.35,0.01,90.04,0.84,86.09,0.86,90.37,0.88,13.29,0.13,12.78,0.13,14.15,0.14,0.98,0.01,0.89,0.01,1.11,0.01,"11.07",0.13,"10.56",0.1,"14.92",0.15,10,"technology"
"116","BMCAX","BlackRock Advantage Large Cap Growth Fund Investor A Shares","Large Growth","BlackRock",806910000,15.73,0.53,2,1986-08-25,"Growth","Large","USD",0.87,1.06,1.09,98.91,0,0,0,0,"20.52",5.52,"2.44","14.05","84,338.54",0.69,16.73,9.88,3.1,5.52,13.14,0,0,0.21,15.74,34.98,NA,NA,0,0,0,0,0,0,0,0,0,2,15.73,15.67,2.11,2.12,15.73,15.67,8.93,10.71,15.73,15.35,9.51,11.26,13.85,15.94,-2.9,-2.09,23.13,27.67,9.99,3.23,1.21,3.6,0.76,10,23.74,33.92,10.94,15.34,-5.57,-2.46,20.59,15.53,3,24,8,0.6,0.01,-1.72,0,-3.27,-0.01,1.13,0.01,1.06,0.01,1.12,0.01,1.29,0.01,0.83,0.01,1.18,0.01,91.38,0.84,88.42,0.86,90.1,0.88,12.71,0.13,12.63,0.13,14.92,0.14,1.12,0.01,0.72,0.01,0.92,0.01,"12.76",0.13,"8.21",0.1,"12.02",0.15,9,"technology"
"117","BMCCX","BlackRock Advantage Large Cap Growth Fund Investor C Shares","Large Growth","BlackRock",806910000,15.52,0,2,1993-05-31,"Growth","Large","USD",1.62,1.06,1.09,98.91,0,0,0,0,"20.52",5.52,"2.44","14.05","84,338.54",0.69,16.73,9.88,3.1,5.52,13.14,0,0,0.21,15.74,34.98,NA,NA,0,0,0,0,0,0,0,0,0,2,15.52,15.67,2.07,2.12,15.52,15.67,8.09,10.71,14.86,15.35,8.67,11.26,12.98,15.94,-3.65,-2.09,22.27,27.67,9.01,3.23,0.47,3.6,0.02,10,22.79,33.92,10.11,15.34,-6.37,-2.46,19.7,15.53,3,19,6,-0.15,0.01,-2.51,0,-4.04,-0.01,1.13,0.01,1.06,0.01,1.12,0.01,1.23,0.01,0.76,0.01,1.11,0.01,91.39,0.84,88.49,0.86,90.15,0.88,12.7,0.13,12.64,0.13,14.91,0.14,1.06,0.01,0.66,0.01,0.87,0.01,"12",0.13,"7.41",0.1,"11.24",0.15,9,"technology"
"118","BMCKX","BlackRock Advantage Large Cap Growth Fund Class K","Large Growth","BlackRock",806910000,15.83,0.79,2,2018-01-25,"Growth","Large","USD",0.57,1.06,1.09,98.91,0,0,0,0,"20.52",5.52,"2.44","14.05","84,338.54",0.69,16.73,9.88,3.1,5.52,13.14,0,0,0.21,15.74,34.98,NA,NA,0,0,0,0,0,0,0,0,0,2,15.83,15.67,2.21,2.12,15.83,15.67,9.28,10.71,15.88,15.35,9.59,11.26,13.9,15.94,NA,-2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0.75,0.01,-1.64,0,-3.23,-0.01,1.13,0.01,1.06,0.01,1.12,0.01,1.3,0.01,0.83,0.01,1.18,0.01,91.32,0.84,88.36,0.86,90.08,0.88,12.7,0.13,12.62,0.13,14.92,0.14,1.13,0.01,0.73,0.01,0.92,0.01,"12.91",0.13,"8.3",0.1,"12.06",0.15,9,"technology"
"119","BMCRX","BlackRock Advantage Large Cap Growth Fund Class R","Large Growth","BlackRock",806910000,15.7,0.09,2,2010-07-29,"Growth","Large","USD",1.12,1.06,1.09,98.91,0,0,0,0,"20.52",5.52,"2.44","14.05","84,338.54",0.69,16.73,9.88,3.1,5.52,13.14,0,0,0.21,15.74,34.98,NA,NA,0,0,0,0,0,0,0,0,0,2,15.7,15.67,2.16,2.12,15.7,15.67,8.65,10.71,15.4,15.35,9.18,11.26,13.48,15.94,-3.11,-2.09,22.72,27.67,9.55,3.23,0.87,3.6,0.45,10,23.25,33.92,10.51,15.34,-5.95,-2.46,NA,15.53,3,6,2,0.34,0.01,-2.03,0,-3.6,-0.01,1.13,0.01,1.06,0.01,1.12,0.01,1.27,0.01,0.8,0.01,1.15,0.01,91.31,0.84,88.37,0.86,90.04,0.88,12.69,0.13,12.63,0.13,14.92,0.14,1.09,0.01,0.7,0.01,0.9,0.01,"12.49",0.13,"7.9",0.1,"11.68",0.15,9,"technology"
"120","BOPAX","Sterling Capital Special Opportunities Fund Class A","Large Growth","Sterling Capital Funds",1.08e+09,14.63,0,2,2003-06-01,"Blend","Large","USD",1.11,1.06,0.63,99.37,0,0,0,0,"14.22",2.63,"1.84","5.5","34,644.08",2.16,17.62,3.73,4.32,1.37,19.55,0,5,0,9.37,36.89,NA,NA,0,0,0,0,0,0,0,0,0,2,14.63,15.67,0.46,2.12,14.63,15.67,8.49,10.71,10.02,15.35,9.96,11.26,14.33,15.94,-4.87,-2.09,19.33,27.67,5.13,3.23,7.8,3.6,15.6,10,26.96,33.92,15.39,15.34,-4.01,-2.46,13.31,15.53,2,12,3,-3.64,0.01,-0.52,0,-0.8,-0.01,1.05,0.01,0.97,0.01,0.96,0.01,0.86,0.01,0.85,0.01,1.19,0.01,89.99,0.84,87.34,0.86,88.04,0.88,11.92,0.13,11.63,0.13,13.02,0.14,0.76,0.01,0.81,0.01,1.06,0.01,"8.3",0.13,"9.43",0.1,"14.41",0.15,9,"technology"
"121","BOPCX","Sterling Capital Special Opportunities Fund Class C","Large Growth","Sterling Capital Funds",1.08e+09,14.34,0,2,2003-06-01,"Blend","Large","USD",1.86,1.06,0.63,99.37,0,0,0,0,"14.22",2.63,"1.84","5.5","34,644.08",2.16,17.62,3.73,4.32,1.37,19.55,0,5,0,9.37,36.89,NA,NA,0,0,0,0,0,0,0,0,0,1,14.34,15.67,0.41,2.12,14.34,15.67,7.66,10.71,9.2,15.35,9.14,11.26,13.47,15.94,-5.52,-2.09,18.4,27.67,4.33,3.23,7.06,3.6,14.67,10,26.1,33.92,14.48,15.34,-4.71,-2.46,12.43,15.53,2,12,3,-4.36,0.01,-1.26,0,-1.52,-0.01,1.05,0.01,0.97,0.01,0.96,0.01,0.79,0.01,0.79,0.01,1.13,0.01,90.2,0.84,87.5,0.86,88.05,0.88,11.87,0.13,11.6,0.13,12.99,0.14,0.69,0.01,0.74,0.01,1.01,0.01,"7.54",0.13,"8.6",0.1,"13.56",0.15,9,"technology"
"122","BOPIX","Sterling Capital Special Opportunities Fund Institutional Shares","Large Growth","Sterling Capital Funds",1.08e+09,14.66,0.02,2,2003-06-01,"Blend","Large","USD",0.86,1.06,0.63,99.37,0,0,0,0,"14.22",2.63,"1.84","5.5","34,644.08",2.16,17.62,3.73,4.32,1.37,19.55,0,5,0,9.37,36.89,NA,NA,0,0,0,0,0,0,0,0,0,2,14.66,15.67,0.52,2.12,14.66,15.67,8.8,10.71,10.31,15.35,10.25,11.26,14.62,15.94,-4.61,-2.09,19.66,27.67,5.36,3.23,8.11,3.6,15.87,10,27.27,33.92,15.63,15.34,-3.71,-2.46,13.58,15.53,2,12,3,-3.37,0.01,-0.25,0,-0.52,-0.01,1.05,0.01,0.97,0.01,0.96,0.01,0.88,0.01,0.87,0.01,1.21,0.01,90.08,0.84,87.32,0.86,88.03,0.88,11.9,0.13,11.62,0.13,13.01,0.14,0.78,0.01,0.83,0.01,1.08,0.01,"8.58",0.13,"9.73",0.1,"14.73",0.15,9,"technology"
"123","BOPRX","Sterling Capital Special Opportunities Fund Class R","Large Growth","Sterling Capital Funds",1.08e+09,14.52,0,2,2010-01-31,"Blend","Large","USD",1.36,1.06,0.63,99.37,0,0,0,0,"14.22",2.63,"1.84","5.5","34,644.08",2.16,17.62,3.73,4.32,1.37,19.55,0,5,0,9.37,36.89,NA,NA,0,0,0,0,0,0,0,0,0,2,14.52,15.67,0.46,2.12,14.52,15.67,8.23,10.71,9.74,15.35,9.69,11.26,14.07,15.94,-5.08,-2.09,19.04,27.67,4.82,3.23,7.59,3.6,15.28,10,26.7,33.92,15.07,15.34,-4.21,-2.46,NA,15.53,2,6,2,-3.88,0.01,-0.75,0,-1.03,-0.01,1.05,0.01,0.97,0.01,0.96,0.01,0.84,0.01,0.83,0.01,1.17,0.01,90.03,0.84,87.34,0.86,88.1,0.88,11.89,0.13,11.6,0.13,13.02,0.14,0.74,0.01,0.79,0.01,1.05,0.01,"8.05",0.13,"9.17",0.1,"14.14",0.15,9,"technology"
