"","fund_name","fund_extended_name","category","fund_family","net_assets","ytd_return","fund_yield","morningstar_rating","inception_date","investment","size","currency","net_annual_expense_ratio_fund","net_annual_expense_ratio_category","portfolio_cash","portfolio_stocks","portfolio_bonds","portfolio_others","portfolio_preferred","portfolio_convertable","price_earnings","price_book","price_sales","price_cashflow","median_market_cap","basic_materials","consumer_cyclical","financial_services","real_estate","consumer_defensive","healthcare","utilities","communication_services","energy","industrials","technology","bond_maturity","bond_duration","rating_us_government","rating_aaa","rating_aa","rating_a","rating_bbb","rating_bb","rating_b","rating_below_b","rating_others","morningstar_return_rating","fund_return_ytd","category_return_ytd","fund_return_1month","category_return_1month","fund_return_3months","category_return_3months","fund_return_1year","category_return_1year","fund_return_3years","category_return_3years","fund_return_5years","category_return_5years","fund_return_10years","category_return_10years","fund_return_2018","category_return_2018","fund_return_2017","category_return_2017","fund_return_2016","category_return_2016","fund_return_2015","category_return_2015","fund_return_2014","category_return_2014","fund_return_2013","category_return_2013","fund_return_2012","category_return_2012","fund_return_2011","category_return_2011","fund_return_2010","category_return_2010","morningstar_risk_rating","years_up","years_down","fund_alpha_3years","category_alpha_3years","fund_alpha_5years","category_alpha_5years","fund_alpha_10years","category_alpha_10years","fund_beta_3years","category_beta_3years","fund_beta_5years","category_beta_5years","fund_beta_10years","category_beta_10years","fund_mean_annual_return_3years","category_mean_annual_return_3years","fund_mean_annual_return_5years","category_mean_annual_return_5years","fund_mean_annual_return_10years","category_mean_annual_return_10years","fund_r_squared_3years","category_r_squared_3years","fund_r_squared_5years","category_r_squared_5years","fund_r_squared_10years","category_r_squared_10years","fund_standard_deviation_3years","category_standard_deviation_3years","fund_standard_deviation_5years","category_standard_deviation_5years","fund_standard_deviation_10years","category_standard_deviation_10years","fund_sharpe_ratio_3years","category_sharpe_ratio_3years","fund_sharpe_ratio_5years","category_sharpe_ratio_5years","fund_sharpe_ratio_10years","category_sharpe_ratio_10years","fund_treynor_ratio_3years","category_treynor_ratio_3years","fund_treynor_ratio_5years","category_treynor_ratio_5years","fund_treynor_ratio_10years","category_treynor_ratio_10years","NumOfSector","highest"
"32","ADGYX","AB Core Opportunities Fund Advisor Class","Large Growth","AllianceBernstein",257010000,10.46,0.49,3,2010-03-30,"Blend","Large","USD",0.84,1.06,10.41,89.59,0,0,0,0,"15.1",2.58,"1.25","9.8","56,341.56",0,9.82,16.71,4.88,9.03,16.55,0,7.17,4.07,13.99,17.78,NA,NA,0,0,0,0,0,0,0,0,0,3,10.46,15.67,-0.21,2.12,10.46,15.67,8.5,10.71,13.05,15.35,11.16,11.26,15.65,15.94,-2.62,-2.09,22.88,27.67,8.22,3.23,5.66,3.6,12.87,10,33.62,33.92,16.05,15.34,5.29,-2.46,NA,15.53,1,7,1,0.38,0.01,1.39,0,0.79,-0.01,0.93,0.01,0.88,0.01,0.93,0.01,1.07,0.01,0.93,0.01,1.28,0.01,92.3,0.84,91.77,0.86,92.41,0.88,10.39,0.13,10.24,0.13,12.26,0.14,1.11,0.01,1.01,0.01,1.22,0.01,"12.63",0.13,"11.82",0.1,"16.36",0.15,9,"technology"
"33","ADGZX","AB Core Opportunities Fund Class Z","Large Growth","AllianceBernstein",257010000,10.46,0.57,3,2013-10-14,"Blend","Large","USD",0.75,1.06,10.41,89.59,0,0,0,0,"15.1",2.58,"1.25","9.8","56,341.56",0,9.82,16.71,4.88,9.03,16.55,0,7.17,4.07,13.99,17.78,NA,NA,0,0,0,0,0,0,0,0,0,3,10.46,15.67,-0.2,2.12,10.46,15.67,8.63,10.71,13.13,15.35,11.24,11.26,15.56,15.94,-2.54,-2.09,23.05,27.67,8.29,3.23,5.71,3.6,12.81,10,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,0.47,0.01,1.46,0,0.69,-0.01,0.93,0.01,0.88,0.01,0.93,0.01,1.08,0.01,0.94,0.01,1.28,0.01,92.38,0.84,91.86,0.86,92.4,0.88,10.37,0.13,10.23,0.13,12.28,0.14,1.12,0.01,1.02,0.01,1.21,0.01,"12.74",0.13,"11.9",0.1,"16.24",0.15,9,"technology"
"34","ADRRX","American Century Disciplined Growth Fund Class R","Large Growth","American Century Investments",545800000,14.55,0,3,2005-09-29,"Growth","Large","USD",1.52,1.06,0.37,99.63,0,0,0,0,"20.45",5.58,"2.67","12.2","91,446.56",0.79,19.12,9.22,0.5,2.85,13.3,0,0.17,1.15,10.16,42.73,NA,NA,0,0,0,0,0,0,0,0,0,3,14.55,15.67,1.45,2.12,14.55,15.67,6.95,10.71,13.16,15.35,9.57,11.26,15.72,15.94,-6.01,-2.09,25.43,27.67,7.88,3.23,-2.02,3.6,12.53,10,34.08,33.92,15.12,15.34,2.08,-2.46,21.5,15.53,2,10,3,-1.03,0.01,-1.45,0,-0.52,-0.01,1.07,0.01,1.03,0.01,1.03,0.01,1.1,0.01,0.82,0.01,1.3,0.01,89.22,0.84,91.8,0.86,93.37,0.88,12.2,0.13,12.05,0.13,13.52,0.14,0.97,0.01,0.75,0.01,1.12,0.01,"11.06",0.13,"8.5",0.1,"14.83",0.15,10,"technology"
"35","ADSIX","American Century Disciplined Growth Fund Investor Class","Large Growth","American Century Investments",545800000,14.75,0.12,3,2005-09-29,"Growth","Large","USD",1.02,1.06,0.37,99.63,0,0,0,0,"20.45",5.58,"2.67","12.2","91,446.56",0.79,19.12,9.22,0.5,2.85,13.3,0,0.17,1.15,10.16,42.73,NA,NA,0,0,0,0,0,0,0,0,0,3,14.75,15.67,1.55,2.12,14.75,15.67,7.55,10.71,13.73,15.35,10.12,11.26,16.3,15.94,-5.58,-2.09,26.06,27.67,8.45,3.23,-1.56,3.6,13.08,10,34.9,33.92,15.72,15.34,2.49,-2.46,22.17,15.53,2,10,3,-0.54,0.01,-0.95,0,-0.03,-0.01,1.08,0.01,1.03,0.01,1.03,0.01,1.14,0.01,0.87,0.01,1.34,0.01,89.35,0.84,91.9,0.86,93.42,0.88,12.21,0.13,12.06,0.13,13.53,0.14,1.01,0.01,0.8,0.01,1.16,0.01,"11.57",0.13,"9.02",0.1,"15.38",0.15,10,"technology"
"36","AELSX","Aberdeen Focused U.S. Equity Fund Institutional Service Class","Large Growth","Aberdeen",20290000,14.83,0,1,2009-11-02,"Growth","Large","USD",1.01,1.06,0,100,0,0,0,0,"21.62",4.19,"3.05","12.71","111,412.7",0,18.03,19.62,3.25,7.27,13.38,3.78,3.9,3.37,11.85,15.56,NA,NA,0,0,0,0,0,0,0,0,0,1,14.83,15.67,2.86,2.12,14.83,15.67,11.47,10.71,8.76,15.35,5.69,11.26,4.52,15.94,-3.49,-2.09,12.99,27.67,2.28,3.23,-0.61,3.6,1.24,10,9.74,33.92,3.54,15.34,-3.34,-2.46,4.77,15.53,1,6,3,-3.1,0.01,-2.4,0,-3.47,-0.01,0.9,0.01,0.74,0.01,0.51,0.01,0.75,0.01,0.5,0.01,0.39,0.01,84.71,0.84,81.15,0.86,69.8,0.88,10.5,0.13,9.22,0.13,7.76,0.14,0.73,0.01,0.56,0.01,0.55,0.01,"8.32",0.13,"6.6",0.1,"7.99",0.15,10,"financial_services"
"37","AFGFX","AllianzGI Focused Growth Fund R6","Large Growth","Allianz Funds",1.02e+09,16.34,0,3,2015-12-13,"Growth","Large","USD",0.61,1.06,0.59,99.41,0,0,0,0,"24.09",5.94,"2.69","19.1","114,920.43",1.47,9.95,15.73,0,6.02,21.54,0.31,0,0,7.14,37.85,NA,NA,0,0,0,0,0,0,0,0,0,3,16.34,15.67,2.21,2.12,16.34,15.67,7.88,10.71,14.92,15.35,11.68,11.26,15.59,15.94,-5.32,-2.09,31.94,27.67,1.92,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,-0.49,0.01,-0.11,0,-0.69,-0.01,1.18,0.01,1.11,0.01,1.04,0.01,1.25,0.01,1,0.01,1.3,0.01,83.72,0.84,85.77,0.86,87.16,0.88,13.8,0.13,13.36,0.13,14.13,0.14,0.99,0.01,0.84,0.01,1.07,0.01,"11.59",0.13,"9.84",0.1,"14.56",0.15,8,"technology"
"38","AGBBX","AB Growth Fund Class B","Large Growth","AllianceBernstein",1.08e+09,16.88,0,4,1987-10-22,"Growth","Large","USD",1.97,1.06,8.03,91.97,0,0,0,0,"24.99",6.2,"2.85","18.53","38,423.53",3.29,17.95,7.98,0,13.13,19.75,0,0,0,8.44,29.46,NA,NA,0,0,0,0,0,0,0,0,0,4,16.88,15.67,1.42,2.12,16.88,15.67,16,10.71,17.65,15.35,14.37,11.26,16.46,15.94,2.89,-2.09,32.81,27.67,0.66,3.23,7.9,3.6,11.97,10,32.41,33.92,12.43,15.34,0.21,-2.46,14.02,15.53,2,24,7,3.21,0.01,3.18,0,0.44,-0.01,1.05,0.01,1,0.01,1.01,0.01,1.43,0.01,1.19,0.01,1.35,0.01,83.76,0.84,86.43,0.86,89.57,0.88,12.34,0.13,12.08,0.13,13.55,0.14,1.28,0.01,1.11,0.01,1.17,0.01,"15.59",0.13,"13.53",0.1,"15.86",0.15,7,"technology"
"39","AGFCX","Alger Responsible Investing Fund Class C","Large Growth","Alger",59770000,14.7,0,2,2008-09-23,"Growth","Large","USD",2.14,1.06,2.09,97.91,0,0,0,0,"20.94",5.19,"2.83","13.22","132,957.33",0.89,20.59,10.42,1.1,4.23,12,0,0.56,0.44,12.44,37.32,NA,NA,0,0,0,0,0,0,0,0,0,2,14.7,15.67,2.05,2.12,14.7,15.67,10.15,10.71,13.3,15.35,8.95,11.26,13.15,15.94,-2.38,-2.09,26.29,27.67,1.3,3.23,1.67,3.6,3.94,10,33.58,33.92,13.87,15.34,-5.81,-2.46,8.77,15.53,3,8,2,-0.92,0.01,-2.08,0,-2.69,-0.01,1.08,0.01,1.04,0.01,1.02,0.01,1.11,0.01,0.78,0.01,1.11,0.01,86.15,0.84,88.59,0.86,92.14,0.88,12.47,0.13,12.4,0.13,13.54,0.14,0.96,0.01,0.69,0.01,0.95,0.01,"11.14",0.13,"7.82",0.1,"12.41",0.15,10,"technology"
"40","AGFIX","AB Growth Fund Class I","Large Growth","AllianceBernstein",1.08e+09,17.21,0,5,2005-02-28,"Growth","Large","USD",0.83,1.06,8.03,91.97,0,0,0,0,"24.99",6.2,"2.85","18.53","38,423.53",3.29,17.95,7.98,0,13.13,19.75,0,0,0,8.44,29.46,NA,NA,0,0,0,0,0,0,0,0,0,4,17.21,15.67,1.53,2.12,17.21,15.67,17.34,10.71,19.02,15.35,15.72,11.26,17.92,15.94,4.06,-2.09,34.37,27.67,1.82,3.23,9.18,3.6,13.35,10,34.01,33.92,13.87,15.34,1.59,-2.46,15.59,15.53,3,11,2,4.36,0.01,4.35,0,1.68,-0.01,1.05,0.01,1,0.01,1.01,0.01,1.52,0.01,1.28,0.01,1.46,0.01,83.76,0.84,86.42,0.86,89.56,0.88,12.35,0.13,12.1,0.13,13.56,0.14,1.38,0.01,1.21,0.01,1.26,0.01,"16.86",0.13,"14.86",0.1,"17.29",0.15,7,"technology"
"41","AGFKX","AB Growth Fund Class K","Large Growth","AllianceBernstein",1.08e+09,17.07,0,4,2005-02-28,"Growth","Large","USD",1.26,1.06,8.03,91.97,0,0,0,0,"24.99",6.2,"2.85","18.53","38,423.53",3.29,17.95,7.98,0,13.13,19.75,0,0,0,8.44,29.46,NA,NA,0,0,0,0,0,0,0,0,0,4,17.07,15.67,1.48,2.12,17.07,15.67,16.83,10.71,18.53,15.35,15.28,11.26,17.5,15.94,3.63,-2.09,33.79,27.67,1.47,3.23,8.8,3.6,12.96,10,33.62,33.92,13.52,15.34,1.24,-2.46,15.21,15.53,2,11,2,3.95,0.01,3.97,0,1.33,-0.01,1.05,0.01,1,0.01,1.01,0.01,1.49,0.01,1.25,0.01,1.43,0.01,83.76,0.84,86.45,0.86,89.59,0.88,12.34,0.13,12.08,0.13,13.56,0.14,1.34,0.01,1.18,0.01,1.23,0.01,"16.42",0.13,"14.43",0.1,"16.88",0.15,7,"technology"
